"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Account Management","PROJ-6334: User Deletion","0","0","1","0","0"
"","Book Management","Book Collection","0","0","2","0","0"
"","Account Management","User Info","0","1","0","0","0"
"","Account Management","PROJ-4532: User Registration","0","0","1","0","0"
"","Account Management","PROJ-6632: User Registration","0","0","4","0","0"
"","Book Management","Book Info","0","0","1","0","0"
"","Account Management","PROJ-1154: User Registration","0","0","1","0","0"
"","Account Management","PROJ-6645: Token Generation","0","0","1","0","0"
"","Account Management","PROJ-5642: User Deletion","0","0","1","0","0"
"","Account Management","User Authentication","0","1","0","0","0"
"","Book Management","Book Collection (Negative)","0","0","1","0","0"
"","Account Management","PROJ-5554: User Registration","0","0","1","0","0"
