"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 28 12:30:24 UTC 2025","Mon Jul 28 12:30:24 UTC 2025","306","","tests.AccountTests","","tests.AccountTests","unsuccessfulRegistrationEmptyUserNameOrPasswordTest","Registration fails with empty username or password [1] LoginRequest(userName=chrystal.mayer, password=)",""
"passed","Mon Jul 28 12:30:25 UTC 2025","Mon Jul 28 12:30:25 UTC 2025","289","","tests.AccountTests","","tests.AccountTests","unsuccessfulRegistrationEmptyUserNameOrPasswordTest","Registration fails with empty username or password [3] LoginRequest(userName=, password=1tm44R$yh9k)",""
"passed","Mon Jul 28 12:30:25 UTC 2025","Mon Jul 28 12:30:26 UTC 2025","316","","tests.AccountTests","","tests.AccountTests","unsuccessfulRegistrationWithIncorrectPasswordTest","Registration fails when password policy is not met",""
"passed","Mon Jul 28 12:30:25 UTC 2025","Mon Jul 28 12:30:25 UTC 2025","282","","tests.AccountTests","","tests.AccountTests","unsuccessfulRegistrationEmptyUserNameOrPasswordTest","Registration fails with empty username or password [4] LoginRequest(userName=null, password=1tm44R$yh9k)",""
"passed","Mon Jul 28 12:30:12 UTC 2025","Mon Jul 28 12:30:18 UTC 2025","5917","","tests.AccountTests","","tests.AccountTests","unsuccessfulRegistrationUserAlreadyExistsTest","Registration fails if user already exists",""
"passed","Mon Jul 28 12:30:28 UTC 2025","Mon Jul 28 12:30:32 UTC 2025","4010","","tests.AccountTests","","tests.AccountTests","successfulDeleteUserTest","Successful user deletion",""
"passed","Mon Jul 28 12:30:24 UTC 2025","Mon Jul 28 12:30:25 UTC 2025","306","","tests.AccountTests","","tests.AccountTests","unsuccessfulRegistrationEmptyUserNameOrPasswordTest","Registration fails with empty username or password [2] LoginRequest(userName=chrystal.mayer, password=null)",""
"passed","Mon Jul 28 12:30:26 UTC 2025","Mon Jul 28 12:30:28 UTC 2025","2578","","tests.AccountTests","","tests.AccountTests","successfulGenerationTokenTest","Successful token generation",""
"passed","Mon Jul 28 12:30:32 UTC 2025","Mon Jul 28 12:30:36 UTC 2025","4091","","tests.DeleteBooksTest","","tests.DeleteBooksTest","addAndDeleteBookTest","Successful adding and deleting of a book from the user collection",""
"passed","Mon Jul 28 12:30:21 UTC 2025","Mon Jul 28 12:30:24 UTC 2025","2938","","tests.AccountTests","","tests.AccountTests","deleteUserWithInvalidTokenTest","Deletion fails with an invalid token",""
"passed","Mon Jul 28 12:30:18 UTC 2025","Mon Jul 28 12:30:21 UTC 2025","2643","","tests.AccountTests","","tests.AccountTests","successfulRegistrationTest","Successful new user registration",""
